lat	long	country	state	location
-24.7951117	-53.2961804	Brazil	PR	CORBELIA
-21.70292	-47.270344	Brazil	SP	TAMBAU
-22.9008966	-45.3098797	Brazil	SP	ROSEIRA
-22.7597805	-41.8875267	Brazil	RJ	BUZIOS
-22.2628955	-47.5882065	Brazil	SP	FERRAZ
-12.6693806	-38.5406462	Brazil	BA	CANDEIAS
-21.9755872	-44.9311403	Brazil	MG	CAXAMBU
-18.9188041	-48.2767837	Brazil	MG	UBERLANDIA
-23.1019554	-48.2610535	Brazil	SP	BOFETE
-28.241827	-48.6643444	Brazil	SC	IMBITUBA
-23.528805	-45.84653	Brazil	SP	SALESOPOLIS
-12.9400261	-38.4835618	Brazil	PR	ALMIRANTETAMANDARE
-4.2732339	-41.7785173	Brazil	PI	PIRIPIRI
-22.7342277	-43.3638693	Brazil	RJ	BAHIA
-23.4989809	-46.8478321	Brazil	SP	ALPHAVILLE
-19.9132749	-44.0840953	Brazil	MG	CONTAGEM
-19.4175	-41.728334	Brazil	MG	ALVARENGA
-23.5525327	-51.4610764	Brazil	PR	APUCARANA
-7.9340069	-34.868407	Brazil	PE	PAULISTA
-8.5066761	-35.3747339	Brazil	PE	RIBEIRAO
-22.8377227	-45.2565239	Brazil	SP	POTIM
-20.075556	-44.576389	Brazil	MG	ITAUNA
-8.1752476	-34.9468716	Brazil	PE	JABOATAO
-9.3817334	-40.4968875	Brazil	PE	PETROLINA
-7.6307956	-72.6703869	Brazil	Acre	CRUZEIRO DO SUL
-9.9765362	-67.8220778	Brazil	Acre	RIO BRANCO
0.0401529	-51.0569588	Brazil	Amapá	MACAPA
-0.0307068	-51.1789666	Brazil	Amapá	SANTANA
-3.1316333	-59.9825041	Brazil	Amazonas	MANAUS
-15.8630837	-38.8792845	Brazil	Bahia	BELMONTE
-14.29507325	-41.659307508575985	Brazil	Bahia	BRUMADO
-14.0691776	-42.4852428	Brazil	Bahia	CAETITE
-12.6998188	-38.3260762	Brazil	Bahia	CAMACARI
-12.6693806	-38.5406462	Brazil	Bahia	CANDEIAS
-12.6722649	-39.1053665	Brazil	Bahia	CRUZ DAS ALMAS
-12.6107233	-38.3028518	Brazil	Bahia	DIAS D'AVILA
-16.3722412	-39.575704	Brazil	Bahia	EUNAPOLIS
-12.2578934	-38.9598047	Brazil	Bahia	FEIRA DE SANTANA
-14.792599	-39.0453843	Brazil	Bahia	ILHEUS
-15.2454478	-40.2460053	Brazil	Bahia	ITAPETINGA
-13.8604033	-40.0719627	Brazil	Bahia	JEQUIE
-12.89242	-38.3127691	Brazil	Bahia	LAURO DE FREITAS
-12.1376415	-40.3590055	Brazil	Bahia	MACAJUBA
-12.624266	-38.9885844	Brazil	Bahia	MURITIBA
