code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
150797	Terra Santa	18917	3304	3405	3453	2970	2468	1510	1049	517	241
150800	Tomé-Açu	64030	12522	12555	11696	9813	7412	4755	2975	1627	675
150803	Tracuateua	31257	5983	5720	5787	4847	3600	2461	1576	869	414
150805	Trairão	19168	3404	3374	3686	3381	2388	1511	918	399	107
150808	Tucumã	40136	6609	7324	7738	6913	4903	3394	2037	917	301
150810	Tucuruí	115144	20203	23615	21752	18913	13243	8629	5625	2295	869
150812	Ulianópolis	60761	11183	12603	12297	9548	7282	4041	2398	1128	281
150815	Uruará	45435	8301	9150	8619	7083	5458	3468	2001	1011	344
150820	Vigia	54172	8518	9397	9752	9161	7093	4722	3094	1685	750
150830	Viseu	61751	13771	12173	11512	9229	6117	4164	2789	1355	641
150835	Vitória do Xingu	15279	2452	2703	3030	2714	1953	1287	671	341	128
150840	Xinguara	45086	7137	8223	8405	7467	5928	4174	2284	1050	418
160010	Amapá	9187	1799	1694	1792	1440	1087	693	411	183	88
160020	Calçoene	11306	2502	2074	1945	1639	1346	1003	542	182	73
160021	Cutias	6101	1417	1226	1144	840	645	447	232	99	51
160023	Ferreira Gomes	7967	1780	1454	1502	1066	976	600	365	157	67
160025	Itaubal	5617	1236	1077	1060	819	594	411	245	115	60
160027	Laranjal do Jari	51362	10286	10610	9964	7734	5688	3803	2054	863	360
160030	Macapá	512902	88972	97094	97553	87553	65091	40139	22396	9549	4555
160040	Mazagão	22053	5262	4562	4103	2988	2171	1478	860	432	197
160050	Oiapoque	27906	6157	5717	5373	4417	3166	1897	851	246	82
160015	Pedra Branca do Amapari	17067	3835	3428	3141	2843	1802	1093	592	241	92
160053	Porto Grande	22452	4779	4481	4204	3110	2645	1822	916	356	139
160055	Pracuúba	5246	1425	1078	893	738	556	286	164	72	34
160060	Santana	123096	22510	23328	23742	20868	14588	8942	5304	2603	1211
160005	Serra do Navio	5488	1068	1041	1003	824	714	461	258	92	27
160070	Tartarugalzinho	17769	4238	3439	3195	2292	1776	1395	886	390	158
160080	Vitória do Jari	16254	3489	3151	3198	2410	1765	1149	630	312	150
170025	Abreulândia	2594	467	428	393	372	356	256	209	86	27
170030	Aguiarnópolis	6892	1398	1350	1236	1185	816	402	278	153	74
170035	Aliança do Tocantins	5346	702	738	901	718	776	626	458	281	146
170040	Almas	6979	1278	1138	1189	928	823	696	492	297	138
170070	Alvorada	8396	1107	1342	1381	1317	1193	947	606	345	158
170100	Ananás	9492	1663	1544	1593	1380	1258	886	572	397	199
170105	Angico	3454	549	521	587	509	448	374	242	144	80
